Frequency      Power          Speed          Perf Ratio  Efficiency

 300000 kHz	 18446742266.0 mW	 115979892 μs	 1.000 x	 18446742266.0 mW/perf
 652800 kHz	 18446742028.0 mW	  53199167 μs	 2.180 x	 8461391822.6 mW/perf
 902400 kHz	 18446741851.0 mW	  38463694 μs	 3.015 x	 6117696969.9 mW/perf
1056000 kHz	 18446741749.0 mW	  32862862 μs	 3.529 x	 5226877849.2 mW/perf
1401600 kHz	 18446741498.5 mW	  24737777 μs	 4.688 x	 3934573223.8 mW/perf
1536000 kHz	 18446741400.0 mW	  22571436 μs	 5.138 x	 3590014059.7 mW/perf
1804800 kHz	 18446741228.0 mW	  19208776 μs	 6.038 x	 3055178911.3 mW/perf
2016000 kHz	 18446741005.5 mW	  17205482 μs	 6.741 x	 2736552559.7 mW/perf
